group,Subj_new,block,trial,market_change,exp,expt1,port_value,portvalue_tM1_subj,portvalue_tM2_matlab,portvalue_tMJ_subj,Known_change_exp,change_exp,Kown_change,change,vWTP
1,58,1,16,-10.15243,NaN,NaN,99,NaN,99,99,NaN,NaN,NaN,NaN,0
1,58,1,17,3.47609,NaN,NaN,91,NaN,98,99,NaN,NaN,NaN,NaN,0
1,58,1,18,-4.34666,NaN,NaN,87,91,88,99,NaN,NaN,-8,3,0
1,58,1,19,5.6229,NaN,NaN,87,87,91,91,NaN,NaN,-4,-4,-1
1,58,1,20,-2.98835,NaN,NaN,82,NaN,87,87,NaN,NaN,NaN,NaN,0
1,58,1,21,-4.77697,NaN,NaN,78,82,85,87,NaN,NaN,-5,-3,0
1,58,1,22,6.38984,NaN,NaN,85,78,82,82,NaN,NaN,-4,-4,0
1,58,1,23,9.41563,NaN,NaN,85,85,78,78,NaN,NaN,7,7,0
1,58,1,24,-8.83756,NaN,NaN,85,NaN,85,85,NaN,NaN,NaN,NaN,0
1,58,1,25,9.68857,NaN,NaN,93,85,93,85,NaN,NaN,0,-8,0
1,58,1,26,0.83405,NaN,NaN,85,93,85,85,NaN,NaN,8,8,0
1,58,1,27,4.03296,NaN,NaN,85,85,93,93,NaN,NaN,-8,-8,0
1,58,1,28,5.41119,NaN,NaN,86,NaN,85,85,NaN,NaN,NaN,NaN,0
1,58,1,29,-5.45588,NaN,NaN,86,86,88,85,NaN,NaN,1,-2,1
1,58,1,30,-3.83567,NaN,NaN,86,NaN,86,86,NaN,NaN,NaN,NaN,0
1,58,1,31,-5.12805,NaN,NaN,85,NaN,81,86,NaN,NaN,NaN,NaN,0
1,58,1,32,-5.27946,NaN,NaN,85,85,78,86,NaN,NaN,-1,7,0
1,58,1,33,0.09143,NaN,NaN,90,NaN,85,85,NaN,NaN,NaN,NaN,0
1,58,1,34,1.78965,NaN,NaN,90,90,91,85,NaN,NaN,5,-1,0
1,58,1,35,1.91476,NaN,NaN,87,NaN,90,90,NaN,NaN,NaN,NaN,0
1,58,1,36,1.29548,NaN,NaN,88,87,85,90,NaN,NaN,-3,2,0
1,58,1,37,-6.56339,NaN,NaN,88,88,87,87,NaN,NaN,1,1,0
1,58,1,38,0.65496,NaN,NaN,88,NaN,88,88,NaN,NaN,NaN,NaN,0
1,58,1,39,9.79026,NaN,NaN,86,NaN,92,88,NaN,NaN,NaN,NaN,0
1,58,1,40,1.46758,NaN,NaN,87,86,93,88,NaN,NaN,-2,-7,0
1,58,1,41,2.37062,NaN,NaN,87,87,86,86,NaN,NaN,1,1,0
1,58,1,42,-6.0452,NaN,NaN,84,NaN,87,87,NaN,NaN,NaN,NaN,1
1,58,1,43,-11.15654,NaN,NaN,84,84,89,87,NaN,NaN,-3,-5,0
1,58,1,44,1.64187,NaN,NaN,85,NaN,84,84,NaN,NaN,NaN,NaN,0
1,58,1,45,-2.46704,NaN,NaN,83,85,75,84,NaN,NaN,1,10,0
1,58,1,46,0.92147,NaN,NaN,84,83,85,85,NaN,NaN,-2,-2,NaN
1,58,1,47,4.27338,NaN,NaN,84,84,83,83,NaN,NaN,1,1,0
1,58,1,48,9.38317,NaN,NaN,96,NaN,84,84,NaN,NaN,NaN,NaN,0
1,58,1,49,-2.75916,NaN,NaN,96,96,88,84,NaN,NaN,12,8,0
1,58,1,50,0.66158,NaN,NaN,94,NaN,96,96,NaN,NaN,NaN,NaN,0
1,58,2,51,-5.10345,NaN,NaN,94,94,105,96,NaN,NaN,-2,-11,0
1,58,2,52,1.45274,NaN,NaN,94,NaN,94,94,NaN,NaN,NaN,NaN,0
1,58,2,53,-0.38129,NaN,NaN,94,NaN,95,94,NaN,NaN,NaN,NaN,0
1,58,2,54,3.68963,NaN,NaN,89,NaN,91,94,NaN,NaN,NaN,NaN,0
1,58,2,55,-0.78499,NaN,NaN,88,89,91,94,NaN,NaN,-5,-2,0
1,58,2,56,2.28739,NaN,NaN,88,88,89,89,NaN,NaN,-1,-1,0
1,58,2,57,-3.93769,NaN,NaN,88,NaN,88,88,NaN,NaN,NaN,NaN,0
1,58,2,58,7.40479,NaN,NaN,88,NaN,90,88,NaN,NaN,NaN,NaN,0
1,58,2,59,5.66981,NaN,NaN,97,NaN,86,88,NaN,NaN,NaN,NaN,0
1,58,2,60,6.9178,NaN,NaN,104,97,92,88,NaN,NaN,9,5,0
1,58,2,61,-5.05498,NaN,NaN,99,104,97,97,NaN,NaN,7,7,0
1,58,2,62,0.79979,NaN,NaN,100,99,104,104,NaN,NaN,-5,-5,0
1,58,2,63,-2.9822,NaN,NaN,110,100,99,99,NaN,NaN,1,1,0
1,58,2,64,3.06788,NaN,NaN,113,110,100,100,NaN,NaN,10,10,0
1,58,2,65,-7.67518,NaN,NaN,115,113,110,110,NaN,NaN,3,3,0
1,58,2,66,-9.65191,NaN,NaN,104,115,113,113,NaN,NaN,2,2,1
1,58,2,67,0.64994,NaN,NaN,104,104,115,115,NaN,NaN,-11,-11,0
1,58,2,68,-2.40183,NaN,NaN,102,NaN,104,104,NaN,NaN,NaN,NaN,0
1,58,2,69,-4.97109,NaN,NaN,102,102,105,104,NaN,NaN,-2,-3,0
1,58,2,70,-1.03171,NaN,NaN,114,NaN,102,102,NaN,NaN,NaN,NaN,0
1,58,2,71,1.25213,NaN,NaN,114,114,106,102,NaN,NaN,12,8,0
1,58,2,72,8.72808,NaN,NaN,114,NaN,114,114,NaN,NaN,NaN,NaN,0
1,58,2,73,2.88722,NaN,NaN,117,114,115,114,NaN,NaN,0,-1,0
1,58,2,74,0.33928,NaN,NaN,117,117,114,114,NaN,NaN,3,3,0
1,58,2,75,0.48272,NaN,NaN,117,NaN,117,117,NaN,NaN,NaN,NaN,0
1,58,2,76,-0.60251,NaN,NaN,117,NaN,117,117,NaN,NaN,NaN,NaN,0
1,58,2,77,-4.22856,NaN,NaN,115,NaN,118,117,NaN,NaN,NaN,NaN,0
1,58,2,78,-8.14051,NaN,NaN,115,115,115,117,NaN,NaN,-2,0,0
1,58,2,79,4.74026,NaN,NaN,120,115,115,115,NaN,NaN,0,0,0
1,58,2,80,-0.78662,NaN,NaN,120,120,115,115,NaN,NaN,5,5,0
1,58,2,81,0.15378,NaN,NaN,120,NaN,120,120,NaN,NaN,NaN,NaN,1
1,58,2,82,-5.77623,NaN,NaN,108,NaN,119,120,NaN,NaN,NaN,NaN,0
1,58,2,83,-0.20398,NaN,NaN,108,108,115,120,NaN,NaN,-12,-7,0
1,58,2,84,13.4465,NaN,NaN,123,108,108,108,NaN,NaN,0,0,0
1,58,2,85,8.72915,NaN,NaN,134,123,108,108,NaN,NaN,15,15,0
1,58,2,86,8.09547,NaN,NaN,134,134,123,123,NaN,NaN,11,11,0
1,58,2,87,-4.70826,NaN,NaN,138,NaN,134,134,NaN,NaN,NaN,NaN,0
1,58,2,88,2.79799,NaN,NaN,142,138,145,134,NaN,NaN,4,-7,0
1,58,2,89,-11.42009,NaN,NaN,126,142,138,138,NaN,NaN,4,4,0
1,58,2,90,0.92013,NaN,NaN,126,126,142,142,NaN,NaN,-16,-16,0
1,58,2,91,-7.10589,NaN,NaN,126,NaN,126,126,NaN,NaN,NaN,NaN,0
1,58,2,92,-7.10872,NaN,NaN,126,NaN,115,126,NaN,NaN,NaN,NaN,0
1,58,2,93,9.60826,NaN,NaN,109,NaN,107,126,NaN,NaN,NaN,NaN,0
1,58,2,94,4.55249,NaN,NaN,114,109,99,126,NaN,NaN,-17,10,0
1,58,2,95,0.4226,NaN,NaN,105,114,109,109,NaN,NaN,5,5,0
1,58,2,96,-4.98149,NaN,NaN,105,105,114,114,NaN,NaN,-9,-9,0
1,58,2,97,4.53789,NaN,NaN,105,NaN,105,105,NaN,NaN,NaN,NaN,0
1,58,2,98,-0.7293,NaN,NaN,105,NaN,110,105,NaN,NaN,NaN,NaN,0
1,58,2,99,-3.63203,NaN,NaN,105,NaN,106,105,NaN,NaN,NaN,NaN,0
1,58,2,100,4.62534,NaN,NaN,120,NaN,115,105,NaN,NaN,NaN,NaN,0
1,58,3,101,-2.22422,-2,NaN,98,120,115,105,NaN,NaN,15,5,0
1,58,3,102,-0.69819,-1,-2,97,98,120,120,-20,-20,-22,-22,0
1,58,3,103,4.36569,1,-1,97,97,98,98,0,0,-1,-1,0
1,58,3,104,6.2135,3,1,97,NaN,97,97,NaN,NaN,NaN,NaN,0
1,58,3,105,-6.18414,-3,3,97,NaN,89,97,NaN,NaN,NaN,NaN,0
1,58,3,106,2.78328,1,-3,97,NaN,95,97,NaN,NaN,NaN,NaN,0
1,58,3,107,2.03596,1,1,97,NaN,89,97,NaN,NaN,NaN,NaN,1
1,58,3,108,1.35181,1,1,97,NaN,85,97,NaN,NaN,NaN,NaN,1
1,58,3,109,-1.08962,-1,1,97,NaN,85,97,NaN,NaN,NaN,NaN,0
1,58,3,110,-6.38002,-2,-1,97,NaN,86,97,NaN,NaN,NaN,NaN,0
1,58,3,111,-9.04182,-3,-2,82,NaN,85,97,NaN,NaN,NaN,NaN,0
